"","zip","adult_n","obese_n","non_obese_n","obese_p","households","income","rural_n","urban_n","ru"
"33",53044,1491,184,1307,12.3407109322602,957,79063,150,2147,"urban"
"34",53045,16603,1375,15228,8.28163584894296,8482,100438,171,21515,"urban"
"35",53046,774,183,591,23.6434108527132,487,56771,183,924,"urban"
"36",53048,1679,179,1500,10.6611078022633,1389,51725,3364,0,"rural"
"37",53049,279,21,258,7.52688172043011,1069,83191,2146,305,"rural"
"38",53050,5326,617,4709,11.5846789335336,2827,54806,1852,5134,"urban"
"39",53051,28058,5120,22938,18.2479150331456,15011,76944,2192,33459,"urban"
"40",53058,1253,71,1182,5.66640063846768,1482,92792,564,2679,"urban"
"41",53059,1015,98,917,9.6551724137931,750,69886,1767,0,"rural"
"42",53061,3515,257,3258,7.31152204836415,2170,54509,2025,3171,"urban"
"43",53063,674,47,627,6.97329376854599,642,67333,1552,0,"rural"
"44",53066,12433,534,11899,4.29502131424435,13372,86343,8654,25176,"urban"
"45",53070,3709,574,3135,15.4758695066056,1891,62956,1989,2724,"urban"
"46",53072,19288,1206,18082,6.25259228535877,10617,82032,683,23224,"urban"
"47",53073,11473,1495,9978,13.0305935675063,6089,60744,6958,8799,"urban"
"48",53074,10137,822,9315,8.10890796093519,5408,64446,1461,11419,"urban"
"49",53075,2386,291,2095,12.1961441743504,1332,68304,3345,0,"rural"
"50",53076,2576,526,2050,20.4192546583851,1232,103000,2972,676,"rural"
"51",53078,1265,151,1114,11.9367588932806,711,69934,1912,0,"rural"
"52",53079,533,48,485,9.00562851782364,597,71797,1413,0,"rural"
"53",53080,4402,520,3882,11.8128123580191,2330,59545,1564,4151,"urban"
"54",53081,33063,4746,28317,14.3544142999728,18180,44181,545,42584,"urban"
"55",53083,15132,2195,12937,14.5056833201163,8111,67704,1521,18841,"urban"
"56",53085,8602,1412,7190,16.414787258777,5004,55579,3526,7741,"urban"
"57",53086,6229,1142,5087,18.3336008990207,3332,78796,2397,5858,"urban"
"58",53089,13914,2010,11904,14.4458818456231,7333,87106,1799,16769,"urban"
"59",53090,16751,4109,12642,24.5298788132052,8798,66385,6094,15779,"urban"
"60",53091,1586,263,1323,16.5825977301387,804,62333,2018,0,"rural"
"61",53092,16795,1580,15215,9.4075617743376,8661,96627,557,19467,"urban"
"62",53093,1302,167,1135,12.826420890937,768,80938,1981,0,"rural"
"63",53094,7186,589,6597,8.19649318118564,7562,49514,4099,15070,"urban"
"64",53095,21275,5582,15693,26.2373678025852,11728,63157,6444,20695,"urban"
"65",53097,4176,398,3778,9.53065134099617,1990,107667,3121,3198,"urban"
"66",53098,4766,356,4410,7.46957616449853,4634,54760,3687,8278,"urban"
"67",53103,1614,96,1518,5.94795539033457,1503,86809,1359,2365,"urban"
"68",53105,10903,494,10409,4.53086306521141,11381,66699,12937,16288,"urban"
"69",53108,1182,76,1106,6.42978003384095,1291,68673,2896,433,"rural"
"70",53110,12184,762,11422,6.25410374261326,7572,49882,0,18320,"urban"
"71",53114,2193,425,1768,19.3798449612403,980,63190,1126,1552,"urban"
"72",53115,12116,2263,9853,18.6777814460218,6318,53868,5141,10647,"urban"
